year,month,avg_total
1970,5,324.5241379310345
1970,6,317.0571428571429
1970,7,312.75
1970,8,311.31
1970,9,310.81612903225806
1970,10,307.49666666666667
1970,11,312.10689655172416
1970,12,305.24285714285713
1971,1,299.9714285714286
1971,2,304.4758620689655
1971,3,311.62666666666667
1971,4,325.2866666666667
1971,5,320.07586206896553
1971,6,312.125
1971,7,307.7666666666667
1971,8,308.5466666666667
1971,9,309.15
1971,10,306.05
1971,11,305.54482758620685
1971,12,299.2357142857143
1972,1,298.4428571428571
1972,2,301.4758620689655
1972,3,314.2483870967742
1972,4,319.22333333333336
1972,5,316.42413793103447
1972,6,311.2214285714286
1972,7,296.95714285714286
1972,8,321.3739130434783
1972,9,318.305
1972,10,318.5181818181818
1972,11,333.28333333333336
1973,2,319.92857142857144
1973,3,335.40000000000003
1973,4,344.95000000000005
1973,5,334.995652173913
1973,6,342.9714285714286
1973,7,304.12631578947367
1973,8,316.678947368421
1973,9,315.7761904761905
1973,10,313.35625
1973,11,315.8705882352941
1974,2,299.05
1974,3,282.675
1974,4,288.0263157894737
1974,5,325.255
1974,8,299.848
1974,9,299.0625
1974,10,302.5833333333333
1974,11,297.3434782608696
1974,12,292.76521739130436
1975,1,330.05
1975,2,293.1818181818182
1975,3,289.16521739130434
1975,4,292.945
1975,5,316.8818181818182
1975,9,342.125
1975,10,305.1111111111111
1975,11,302.85
1975,12,305.25
1976,1,298.0608695652174
1976,2,296.988
1976,4,329.8277777777778
1978,11,306.17241379310343
1978,12,300.48214285714283
1979,1,302.0206896551724
1979,2,309.3
1979,3,318.83870967741933
1979,4,324.14516129032256
1979,5,320.05172413793105
1979,6,313.375
1979,7,308.57241379310346
1979,8,308.15
1979,9,307.6967741935484
1979,10,310.3935483870968
1979,11,308.9655172413793
1979,12,301.44074074074075
1980,1,301.27500000000003
1980,2,308.85333333333335
1980,3,322.48125
1980,4,323.77333333333337
1980,5,319.88965517241377
1980,6,311.13571428571424
1980,7,307.5
1980,8,305.96
1980,9,302.47666666666663
1980,10,302.1107142857143
1980,11,300.4777777777778
1980,12,301.04285714285714
1981,1,301.17586206896556
1981,2,306.7433333333333
1981,3,317.990625
1981,4,319.5806451612903
1981,5,316.85172413793106
1981,6,308.59285714285716
1981,7,305.4896551724138
1981,8,304.96
1981,9,305.09032258064514
1981,10,305.4516129032258
1981,11,305.22758620689655
1981,12,300.7714285714286
1982,1,299.7357142857143
1982,2,309.75333333333333
1982,3,320.2125
1982,4,322.73870967741937
1982,5,320.30740740740737
1982,6,311.89230769230767
1982,7,305.14827586206894
1982,8,302.05333333333334
1982,9,298.10625
1982,10,298.8806451612903
1982,11,297.6551724137931
1982,12,293.7142857142857
1983,1,293.42068965517245
1983,2,298.6633333333333
1983,3,307.2741935483871
1983,4,313.38709677419354
1983,5,310.78275862068966
1983,6,304.8965517241379
1983,7,300.9034482758621
1983,8,299.81
1983,9,296.6625
1983,10,297.3225806451613
1983,11,298.17241379310343
1983,12,294.6714285714285
1984,1,296.77241379310345
1984,2,300.8833333333333
1984,3,314.796875
1984,4,316.6645161290323
1984,5,313.8724137931034
1984,6,307.7896551724138
1984,7,303.1620689655173
1984,8,301.2
1984,9,296.6875
1984,10,296.39032258064515
1984,11,296.91379310344826
1984,12,292.4214285714286
1985,1,292.4379310344828
1985,2,298.82
1985,3,310.534375
1985,4,312.7548387096774
1985,5,308.40000000000003
1985,6,301.92413793103447
1985,7,297.46206896551723
1985,8,295.76666666666665
1985,9,289.85625
1985,10,288.158064516129
1985,11,289.2206896551724
1985,12,290.45517241379315
1986,1,291.57241379310346
1986,2,297.18333333333334
1986,3,304.04193548387093
1986,4,310.9129032258064
1986,5,308.57586206896553
1986,6,302.63793103448273
1986,7,298.90000000000003
1986,8,299.38
1986,9,295.09375
1986,10,294.93870967741935
1986,11,296.90000000000003
1986,12,291.74285714285713
1987,1,291.5344827586207
1987,2,297.90999999999997
1987,3,308.90645161290325
1987,4,315.39677419354837
1987,5,312.27241379310345
1987,6,306.92413793103447
1987,7,301.951724137931
1987,8,298.81333333333333
1987,9,290.99375
1987,10,288.6161290322581
1987,11,286.5655172413793
1987,12,286.81428571428575
1988,1,279.59615384615387
1988,2,292.7241379310345
1988,3,310.26875
1988,4,312.5548387096774
1988,5,308.9344827586207
1988,6,303.1586206896552
1988,7,299.51724137931035
1988,8,299.40999999999997
1988,9,297.00625
1988,10,298.9166666666667
1988,11,300.4758620689655
1988,12,295.44642857142856
1989,1,296.77241379310345
1989,2,301.10999999999996
1989,3,314.515625
1989,4,314.65161290322584
1989,5,312.40000000000003
1989,6,305.92413793103447
1989,7,302.048275862069
1989,8,299.18333333333334
1989,9,291.534375
1989,10,291.0774193548387
1989,11,294.3344827586207
1989,12,293.7
1990,1,292.5
1990,2,297.96666666666664
1990,3,304.253125
1990,4,305.85483870967744
1990,5,306.2137931034483
1990,6,299.97037037037035
1990,7,296.11481481481485
1990,8,295.8137931034483
1990,9,290.9967741935484
1990,10,286.8032258064516
1990,11,286.13448275862066
1990,12,285.3071428571429
1991,1,291.5241379310345
1991,2,298.3666666666667
1991,4,316.31724137931036
1991,5,313.19259259259263
1991,6,307.1307692307692
1991,7,302.7481481481481
1991,8,300.9035714285714
1991,9,297.7133333333333
1991,10,291.8774193548387
1991,11,294.17241379310343
1991,12,289.5571428571429
1992,1,289.36551724137934
1992,2,297.68064516129033
1992,3,303.6774193548387
1992,4,307.89285714285717
1992,5,303.3692307692308
1992,6,294.848
1992,7,290.8269230769231
1992,8,290.3666666666667
1992,9,290.3724137931034
1992,10,283.2064516129032
1992,11,279.15
1992,12,277.65185185185186
1993,1,279.0357142857143
1993,2,285.24666666666667
1993,3,293.9866666666667
1993,4,297.24074074074076
1993,5,295.592
1993,6,289.05833333333334
1993,7,283.12083333333334
1993,8,282.064
1993,9,288.79655172413794
1993,10,279.6322580645161
1993,11,282.32068965517243
1993,12,282.2285714285714
1994,1,283.3357142857143
1994,2,294.28333333333336
1994,3,304.39032258064515
1994,4,309.9785714285714
1994,5,304.83846153846156
1994,6,298.73846153846154
1994,7,293.7307692307692
1994,8,293.45185185185187
1994,9,292.69666666666666
1994,10,285.5290322580645
1994,11,288.67333333333335
1994,12,285.34285714285716
1995,1,284.4068965517241
1995,2,290.09666666666664
1995,3,297.7
1995,4,301.1896551724138
1995,5,298.79285714285714
1995,6,294.47037037037035
1995,7,292.3666666666667
1995,8,292.28275862068966
1995,9,286.16129032258067
1995,10,282.26774193548385
1995,11,284.3933333333333
1995,12,285.73793103448276
1996,1,288.13448275862066
1996,2,292.48333333333335
1996,3,299.758064516129
1996,4,305.77241379310345
1996,5,303.8178571428571
1996,6,299.5851851851852
1996,7,296.0777777777778
1996,8,295.6551724137931
1996,9,289.5741935483871
1996,10,285.32903225806456
1996,11,283.8103448275862
1996,12,284.63214285714287
1997,1,288.0275862068965
1997,2,292.02000000000004
1997,3,295.96774193548384
1997,4,299.196551724138
1997,5,300.24444444444447
1997,6,295.2185185185185
1997,7,290.59999999999997
1997,8,289.12857142857143
1997,9,288.6566666666667
1997,10,280.99032258064517
1997,11,283.82758620689657
1997,12,283.74642857142857
1998,1,288.36551724137934
1998,2,296.62
1998,3,309.5032258064516
1998,4,313.5931034482759
1998,5,311.9851851851852
1998,6,302.992
1998,7,299.1923076923077
1998,8,299.2107142857143
1998,9,294.3666666666667
1998,10,285.85161290322577
1998,11,284.9862068965517
1998,12,282.45
1999,1,286.7896551724138
1999,2,294.57
1999,3,311.0225806451613
1999,4,310.848275862069
1999,5,307.51111111111106
1999,6,300.3730769230769
1999,7,296.3538461538461
1999,8,296.0857142857143
1999,9,293.1666666666667
1999,10,285.9225806451613
1999,11,286.84666666666664
1999,12,288.42068965517245
2000,1,290.20344827586206
2000,2,298.6
2000,3,304.1193548387097
2000,4,307.5551724137931
2000,5,306.03214285714284
2000,6,301.42962962962963
2000,7,296.5148148148148
2000,8,295.0
2000,9,288.01290322580644
2000,10,289.71935483870965
2000,11,290.7586206896552
2000,12,290.951724137931
2001,1,290.86206896551727
2001,2,301.2838709677419
2001,3,309.815625
2001,4,312.43
2001,5,309.2035714285715
2001,6,303.06296296296296
2001,7,299.2785714285714
2001,8,295.848275862069
2001,9,288.7032258064516
2001,10,286.0225806451613
2001,11,285.5931034482759
2001,12,285.8689655172414
2002,1,287.0827586206896
2002,2,297.6967741935484
2002,3,304.73125
2002,4,309.0133333333333
2002,5,306.9357142857143
2002,6,301.31481481481484
2002,7,298.6821428571429
2002,8,298.1586206896552
2002,9,295.1741935483871
2002,10,295.9193548387097
2002,11,297.82666666666665
2002,12,294.59999999999997
2003,1,292.6310344827586
2003,2,301.9967741935484
2003,3,308.196875
2003,4,312.34000000000003
2003,5,309.4357142857143
2003,6,303.1296296296296
2003,7,298.5111111111111
2003,8,295.2896551724138
2003,9,288.0064516129033
2003,10,288.146875
2003,11,290.5133333333333
2003,12,288.5965517241379
2004,1,286.8344827586207
2004,2,298.4483870967742
2004,3,305.9
2004,4,309.01666666666665
2004,5,305.875
2004,6,298.6962962962963
2004,7,295.425
2004,8,294.13793103448273
2004,9,288.79999999999995
2004,10,288.0483870967742
2004,11,286.7655172413793
2004,12,288.27241379310345
2005,1,288.63448275862066
2005,2,295.38709677419354
2005,3,302.759375
2005,4,307.3366666666667
2005,5,304.70714285714286
2005,6,299.8888888888889
2005,7,296.6392857142857
2005,8,294.42758620689654
2005,9,287.6677419354839
2005,10,286.07096774193553
2005,11,289.3
2005,12,287.44827586206895
2006,1,285.68275862068964
2006,2,297.19032258064516
