Calendar Year,Property Name,Site Energy Use (kBtu),Data Center - IT Source Energy (kBtu),Total GHG Emissions (Metric Tons CO2e),Data Center - Gross Floor Area (ft²)
2020,DEPM 1174 - 212 West 18th Street,48396632.6,133198962.3,3347.9,154262
2020,URA Group - 33 Whitehall Street,24128262.5,Not Available,1922.8,8000
2020,55 Broadway,21384987.9,Not Available,1685.3,1466
2020,11 Times Square,81666056.3,Not Available,5974.8,5448
2020,55 Water,251660747.4,Not Available,19928.5,37400
2020,230 Park Avenue,88935248.7,Not Available,6538.9,1453
2020,825 8th Ave Worldwide Plaza,136147667,Not Available,10963.4,14946
2020,32 Old Slip,78987703.7,Not Available,6324.9,9076
2020,601 West 26 St - Starrett Lehigh,166937540.7,158080436.9,12506.9,78327
2020,470 Vanderbilt Avenue,41232929.6,Not Available,3203.1,5444
2020,1285 Avenue of the Americas,156210633.2,Not Available,12048.2,35681
2020,37-18 Northern Boulevard - Standard Motor Products,22862234.9,Not Available,1838.3,9000
2020,McGraw Hill - 1221 AOA,200474591.8,Not Available,14120.6,6000
2020,200 West Street,195206086.4,Not Available,13864,43458
2020,101 Leonard Street,222267.5,Not Available,12.9,5934
2020,292 Madison Ave,13305159.1,Not Available,820.6,587
2020,1633 Broadway - Paramount Plaza,204706196.2,Not Available,14331.7,13124
2020,MS Icahn Medical Institute,205471691.7,Not Available,12860.5,37278
2020,601 Lexington Avenue,112435821.1,Not Available,7963.1,4500
2020,JPMorgan Chase-3CMC,38561844.8,Not Available,2837.2,140940
2020,JPMorgan Chase-4CMC,108125590.1,Not Available,7944.4,14815
2020,ConEd Irving Place,81500117.5,Not Available,5533.1,69781
2020,ConEd Flatbush HQ,5580474.3,Not Available,411.8,9617
2020,ConEd The Learning Center,6797710,Not Available,493.9,2168
2020,UJA Federation,10361163.4,1905335.8,749,1071
2020,DCAS_4695_OEM Headquarters,10297963.5,Not Available,713.1,66245
2020,DCAS_10224_Public Safety Answering Center II,94766818.6,Not Available,6285.3,600000
2020,140 Broadway,61348922.4,20506518.7,4526,23196
2020,3 World Financial Center,178130576.9,6348601,11794.8,5527
2020,ESRT - 1350 Broadway,17671530,Not Available,1271.9,1429
2020,ESRT - 501 7th Ave*,22838672.4,Not Available,1670.5,2520
2020,New York Blood Center,56931046.7,1177069.8,3892.6,1200
2020,160 Water St,39898069.1,Not Available,2755.8,576
2020,132 W 31st St (LL84),31950901.1,Not Available,2033.6,257
2020,216 East 45th Street,22376675.9,Not Available,1652.2,13927
2020,85 10th Ave,Not Available,Not Available,Not Available,118738
2020,ESRT - 111 West 33rd Street,34013692.8,Not Available,2464.8,3055
2020,ESRT - 250 West 57th Street,24917927.1,Not Available,1695.3,2220
2020,ESRT - One Grand Central Place,78762636.3,Not Available,5440.7,3984
2020,ESRT - 1333 Broadway,20842013.4,Not Available,1411.9,1156
2020,ESRT - 1400 Broadway,45395101.4,Not Available,2965.5,3200
2020,Western Union Building,303376722.3,898559556.5,22391.7,1074536
2020,216 East 45th Street,22376675.9,Not Available,1652.2,13927
2020,JPMorgan Chase-383M,151202881.2,Not Available,10787.9,39591
2020,4 NY Plaza - 5213060802,55748166.2,Not Available,3983.3,10000
2020,55 Hudson Yards,94625094.1,11891150.3,6451.3,6000
2020,275 7th,36285182.8,Not Available,2682.5,1728
2020,Hines 750 Seventh,39974105.9,Not Available,2840,11750
2020,51 ASTOR PLACE,25627083.8,Not Available,1831.3,4254
2020,Hippodrome- 1120 Avenue of the Americas,44199149.4,Not Available,3103.4,2000
2020,75 Varick,45596973.3,Not Available,3042.1,750
2020,600 Madison Avenue,32641982,3821439,2280.6,1000
2020,425 Lexington Ave (LL84),38886803.9,Not Available,2764.4,6381
2020,522 Fifth Avenue,29971041.4,Not Available,2151.8,5436
2020,1585 Broadway,141932390.5,Not Available,9091,44048
2020,1 William Street,7757886.5,1955657.5,573.2,2000
2020,JPMorgan Chase-383M,151202881.2,Not Available,10787.9,39591
2020,1740 Broadway (CodeGreen),39024532,Not Available,2727.7,2500
2020,3 Bryant Park,134207703.1,Not Available,9567,9409
2020,15 East 57th Street,7244953.9,Not Available,483.2,680
2020,345 Park Ave LP,231785219.7,28830925.4,16114.1,9612
2020,3 Times Square Associates LLC (NEW PROFILE),53201876.8,2495193.5,3815.7,1749
2020,32 Sixth Avenue Company LLC (NEW PROFILE),209859928.9,454269787.8,15366.9,378441
2020,1825 Park,8079608.2,Not Available,592.1,128
2020,20-30 Hudson Yards,550698931.1,Not Available,32057.2,24925
2020,1290 Ave of Americas,197065653.9,935236.2,13766.6,847
2020,521 Fifth Avenue,43249011.6,Not Available,2981.8,1184
2020,Falchi Building (31-00 47th Ave.),59353356.2,Not Available,3581.8,621
2020,650 Madison Avenue,37835082.6,Not Available,2741.3,1300
2020,7 West 34th Street,19936076.4,Not Available,1443.3,3040
2020,40 Fulton Street,12303093.8,Not Available,909.2,1818
2020,499 Park Avenue,17130496.8,Not Available,1229.3,660
2020,Gotham Tower,53038759.8,Not Available,3678.9,4200
2020,100 West 33rd Street,37864307.5,Not Available,2737.3,5000
2020,110 East 42 St,24596344.9,Not Available,1700.7,1037
2020,218 West 18th Street,13727779.3,Not Available,956.5,5400
2020,185 Varick,6211952,Not Available,461.5,5600
2020,770 Broadway,72056007.2,Not Available,4990.3,1000
2020,PENN 11,64836004.2,Not Available,4618.8,1800
2020,909 Third Avenue,64834517.2,10489279.3,4614.2,2800
2020,"731 Lexington Avenue, Manhattan",179565877.5,73536694.8,12915.2,6000
2020,395 Hudson New York LLC,56765208.4,Not Available,4138.6,39830
2020,11 W 19th Street,14008127.1,Not Available,995.8,914
2020,320 Park Avenue,48841894.3,4504057.6,3488.6,4920
2020,PENN 2,75448028.6,Not Available,5265,2894.9
2020,PENN 1,279249272.8,Not Available,16328.2,3100
2020,Carnegie Hall Tower ll,38199693.4,438633.8,2711.9,830
2020,375 Park Avenue,101850565.4,Not Available,6992,4000
2020,900 Third Ave,24865731.6,Not Available,1783,5190
2020,745 Fifth Ave.,31383427,Not Available,2268.8,3157
2020,ABC 47W 30W,81738664,Not Available,5809.9,74400
2020,Weiss,Not Available,Not Available,0,1598
2020,IT Pavilion,Not Available,Not Available,0,2866
2020,Smith Annex,Not Available,Not Available,0,836
2020,Rockefeller University Main Campus,595975488.3,Not Available,35883.9,5300
2020,375 Pearl Street,138186309.6,88750680.5,10112.9,401022
2020,1211 Avenue of the Americas - CG LL84 Filing,189158314.8,Not Available,13667.1,39867
2020,280 Park Avenue,151378056.2,Not Available,10545.6,5013
2020,17148 - 220 West 42nd Street,10526026.3,Not Available,725.6,2730
2020,40 East 52nd Street LP,21865123.2,9892561.6,1585.4,5604
2020,227 East 30th Street,55800560.1,Not Available,3908.5,104280
2020,240 East 38th Street,151140614.6,Not Available,10609.7,139825
2020,One Bryant Park,412849320.9,59987543.5,23058.1,20000
2020,Hahn Kook Center (Agg Data),32301460.3,Not Available,2257.5,2752
2020,SL Green - 245 Park Avenue,138804451.2,Not Available,9748.7,4922
2020,SL Green Realty Corporation 919 Third Avenue,127006656.2,Not Available,8914.2,12543
2020,SL Green Realty Corporation 1185 Ave of the Americas,94179222.4,Not Available,6608.5,11100
2020,SL Green Realty Corporation 625 Madison Avenue,43841099.6,Not Available,3009.6,1367
2020,SL Green Realty Corporation 1350 Ave of the Americas,45863240.9,Not Available,3179,336
2020,SL Green Realty Corporation 711 Third Avenue,31939973.2,Not Available,2239.8,1571
2020,SL Green Realty Corporation 750 Third Avenue,44793792.8,Not Available,3101.6,320
2020,SL Green Realty Corporation 100 Park Avenue,48586404.2,Not Available,3457.5,2678
2020,SL Green Realty Corporation 461 Fifth Avenue,12351663.9,Not Available,892.8,889
2020,SL Green Realty Corporation 555 West 57th Street,78241310,Not Available,5501.7,16888
2020,SL Green Realty Corporation 420 Lexington Avenue,72143819.6,Not Available,5108.3,3508
2020,SL Green Realty Corporation 810 Seventh Avenue,66219581,Not Available,4602.7,6505
2020,SL Green Realty Corporation 485 Lexington Avenue,52141268.3,Not Available,3689.4,1368
