Calendar Year,Property Name,Primary Property Type - Self Selected,Site Energy Use (kBtu),Data Center - IT Source Energy (kBtu),Electricity Use - Grid Purchase (kBtu),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Data Center - Gross Floor Area (ft²),Largest Property Use Type - Gross Floor Area (ft²),Site EUI (kBtu/ft²)
2022,240 Greenwich St,Financial Office,92809259.8,Not Available,64877728,10929.1,29494,1081579,78.9
2022,200 West Street,Financial Office,211704467.6,Not Available,131377932.8,16413,43458,1894604,104.3
2022,2 MetroTech Center,Office,83068877.3,84650844.4,74636077,6757.7,33176,469405,165.3
2022,One Pierrepont Plaza,Office,50224039.4,0,29542839.4,3635.4,70290,569265,69.3
2022,15 MTC,Office,50840493.6,29291337.5,43319663,4081,49700,686227,68.9
2022,450 Lexington Avenue,Office,70386931.7,Not Available,56154058.2,5683,6349,830757,65
2022,61 Broadway,Office,32996456.6,Not Available,18977893.6,2535.2,4625,704881,46.5
2022,620 Avenue of the Americas,Office,39427617.4,Not Available,31596642.6,3251.9,3697,509374,53.9
2022,230 Park Avenue,Office,93271453.2,Not Available,38944443.7,6884.4,1453,1181886,76.9
2022,825 8th Ave Worldwide Plaza,Office,141239712.3,Not Available,109677524.5,11338.3,14946,1489606,90.5
2022,32 Old Slip,Office,83957582.5,Not Available,62420135.8,6684.9,9076,1069945,77.4
2022,601 West 26 St - Starrett Lehigh,Office,160587514.7,Not Available,114228844.1,12151.6,89736,1835276,83.4
2022,470 Vanderbilt Avenue,Office,47262070.6,Not Available,36055982.5,3643.4,7100,596793,74.3
2022,1285 Avenue of the Americas,Office,163611036.4,Not Available,98739410.4,12625.5,35681,971197,95.8
2022,37-18 Northern Boulevard - Standard Motor Products,Office,23540674.1,Not Available,13897348.8,1883.5,9000,301569,75.8
2022,5 Times Square,Office,33506544.3,Not Available,21501443.6,2587.2,14924,928156,34.2
2022,One Liberty Plaza,Office,158572429.7,4545198.5,80180597.6,11983.6,13000,2286918,67.6
2022,One New York Plaza,Office,223447780.6,Not Available,114035846.5,16458.5,4894,2537669,87.9
2022,300 Madison Avenue,Office,95479036.7,Not Available,68893355.3,7585.5,12000,1123417,83.6
2022,Grace Building,Office,130857941.9,10477512.3,69181534.4,9884.7,40000,1471918,85.1
2022,200 Liberty Street,Office,98163790.5,Not Available,67701157.5,2022.7,48536,1437074,66.1
2022,225 Liberty Street,Office,181940150.5,Not Available,125228048.5,14242.4,10799,2452536,70.6
2022,250 Vesey Street,Office,148272815.3,72891885.8,100546208.3,11668.6,10766,1994336,73.2
2022,333 West 34th Street,Office,28045521.9,Not Available,16621610.3,2012,4900,271818,91.4
2022,Five Manhattan West,Office,142796709.3,Not Available,102336369,11273.8,28240,1443006,89
2022,300 Vesey Street,Office,59818666.5,Not Available,48902842.7,4859.1,25516,490426,115.9
2022,One Manhattan West,Office,130029006.7,17518372.7,99686240.3,10441.9,25000,2066862,62.2
2022,277 Park Avenue,Office,220081428.1,Not Available,105556520.6,16527.9,25682,1831961,116
2022,JPMorgan Chase-383M,Financial Office,144502223,Not Available,97426611,11334.5,39591,1020739.7,123
2022,JPMorgan Chase-3CMC,Financial Office,21663914.8,Not Available,21392714.8,1823,140940,314656,47.3
2022,JPMorgan Chase-4CMC,Financial Office,102172966.7,Not Available,99996866.7,8569.4,14815,1315928,76.8
2022,Speer Street 635/641 Avenue of the Americas,Office,11998023.1,Not Available,8569322.9,952.1,773,266474,42.5
2022,1825 Park,Office,8448847.7,Not Available,5341496,681.8,128,69646,75.1
2022,330 Madison Avenue,Office,45102472.5,Not Available,35643147.1,3641.4,4738,790424,55.6
2022,521 Fifth Avenue,Office,30667990.7,Not Available,15188258.9,2300.8,1184,402145,68.8
2022,110 William Street,Office,40727527.7,Not Available,22501529.5,3112.5,2000,876497,45.7
2022,19 West 44th Street,Office,22958988.8,Not Available,10068350.9,1759,480.9,252961.1,90.6
2022,360 Lexington Ave,Office,11787813.6,Not Available,8102838.6,929.7,405,269134,43.7
2022,Falchi Building (31-00 47th Ave.),Office,39180255.9,Not Available,22447155.9,2786.5,621,430510,67.5
2022,Hahn Kook Center,Office,26932893.9,Not Available,14787750.7,2056.6,2490.4,295520.6,83.5
2022,1375 Broadway,Office,37173995.2,Not Available,20432171.5,2839,2280,495009,73.1
2022,5 Bryant Park,Office,36750276.4,Not Available,23381958.1,2851.7,1152,643842,53.8
2022,280 Park Avenue,Financial Office,145808558,Not Available,69351185.9,10926,1000,1030146,121.2
2022,110 East 42 St,Office,31010649.7,Not Available,11103480.9,2253.2,1037,294052,96.9
2022,218 West 18th Street,Office,15402430.5,Not Available,11792130.8,1188.7,5400,116020,108
2022,Gotham Tower,Office,58133857.5,Not Available,42086258.2,4410.4,4200,604921,95.4
2022,Western Union Building,Data Center,302884694.4,727823999.1,288146294.8,25453.8,1074536,1074536,281.9
2022,One Bryant Park,Financial Office,424345903.8,55491637.1,74401127.8,24890.8,20000,1144057,191.8
2022,1166 Avenue of the Americas - CBRE,Office,150695955.3,Not Available,57155476.6,11042.9,3156,1376618,96.8
2022,730 Third Ave,Office,39060974.7,Not Available,23413394.4,3018.4,15450,646815.2,57.5
2022,Waterman - 125 West 55th Street,Office,37519434,Not Available,28151784.7,2944,2747,561245,65.7
2022,345 Hudson Street,Office,49040885.6,12966289.9,35506879.3,3723.8,21225,819807,57.3
2022,3 World Financial Center,Office,198823775.9,Not Available,103973191.5,14372.6,5527,1667426,86.9
2022,JPMorgan Chase-383M,Financial Office,144502223,Not Available,97426611,11334.5,39591,1020739.7,123
2022,GC - 498 7th Ave,Office,45452601.1,Not Available,30511644.6,3373.1,6057,926484,48.6
2022,IAC 555 West 18th Street,Office,18817416.4,3898097.3,8891733.7,1278.9,1446,151225,102.7
2022,CBRE- 2 Grand Central,Office,35321094.2,Not Available,26946405.7,2834.1,2000,556724,53.8
2022,FAA Facility,Office,10033637.1,Not Available,7673975,777,1500,185371,45.8
2022,222 Broadway,Office,38705062.3,7219247.1,26790776.2,3056,11197,664468,52.6
2022,101 Avenue of the Americas,Office,43751358,Not Available,30584594.7,3459.9,1119,211207,122.2
2022,451 Broadway,Office,6354785.3,Not Available,5978585.3,525.4,2000,43000,97.8
2022,275 7th,Office,41724736.6,Not Available,26918697.5,3374.4,1728,371788,69.3
2022,ESRT - 111 West 33rd Street,Office,33975531.2,Not Available,28251929.1,2768.5,3055,715211,42.1
2022,ESRT - 250 West 57th Street,Office,24557144.8,Not Available,13696146.6,1734.8,2220,438307,51.2
2022,ESRT - One Grand Central Place,Office,74847109.4,Not Available,31285946.2,5522.6,3984,1100874,65.4
2022,ESRT - 1333 Broadway,Office,20111023.9,Not Available,14363376.9,1519.6,1156,251687,63.9
2022,ESRT - 1350 Broadway,Office,17447372.8,Not Available,13295147.3,1399.7,1429,342926,47.3
2022,ESRT - 1400 Broadway,Office,44311321.2,Not Available,25199647.1,3145.5,3200,827871,53.3
2022,ESRT - 501 7th Avenue,Office,27121249.5,Not Available,15792498.9,2157.4,2520,436896,59.6
2022,51 Astor Place,Office,27042420.7,Not Available,19245135.7,2144.7,4254,231120,67.6
2022,7 Bryant Park,Office,49199419.8,Not Available,25592319.5,3417.5,10000,460521,104.6
2022,24-02 49th Avenue,Office,30255076.3,Not Available,18813976.2,2198.2,450,385674,45.5
2022,32 Sixth Avenue Company LLC (NEW PROFILE),Office,196853556.9,406945307.4,180905856.2,16352.8,353824.8,741231.2,171.3
2022,111 Eighth Avenue,Office,536693121.3,Not Available,493874800.6,44551.5,615752,1595459,229.7
2022,1740 Broadway (CodeGreen),Office,29754939.8,Not Available,13669502.3,2210.5,616.4,596712.8,48.4
2022,110 Leroy Street,Office,7936977.9,Not Available,7040777.9,642.8,2600,63400,105.8
2022,1211 Avenue of the Americas - CG LL84 Filing,Office,199600637.1,Not Available,154904532.4,16060.9,39867,1978832,98.6
2022,51 Astor Place (Agg),Office,27042420.7,Not Available,19245135.7,2144.7,4254,231120,67.6
2022,2022_Hippodrome- 1120 Avenue of the Americas,Office,46120790.6,Not Available,23655464.3,3491.5,2000,615347,74.7
2022,75 Varick - BM Portal,Office,46515500.3,Not Available,32586284.6,3494.7,750,957961,47.1
2022,St. Margaret's House,Multifamily Housing,19128054,Not Available,3486753.5,1125.6,231,208345,91.7
2022,(7488-7490) - Stella Towers Condo,Data Center,60842012.3,Not Available,48651401.8,4922.5,177954,177954,180.3
2022,51 West 52nd Street,Office,67531635,Not Available,44549280.4,5282.4,1506.8,891197.2,75.6
2022,650 Fifth Avenue Company,Office,27485916.3,Not Available,20318565.9,2193.6,1910,276476,79.5
2022,02-3-New York 33ML,Office,30583965.9,Not Available,23268850.5,2452.9,7436,508435,57.5
2022,150 Varick Street,Office,19739903.7,13557257.3,12553003.6,1443,19160,163956,83.7
2022,388 Greenwich - HQ,Financial Office,575191454.2,Not Available,113859859,34192.9,196145,2401899,221.4
2022,(71003A) Herald Square Macy's,Retail Store,150368975.8,Not Available,101438148.6,11776,23074,1811861,68.6
2022,395 Hudson New York LLC,Office,38517004.7,Not Available,31374993.3,3126.7,39830,506772,65.4
2022,600 Madison Avenue,Office,32418143.5,3821439,15989485,2442.6,1000,323722,94.4
2022,1 William Street,Financial Office,7421771.3,1961032.1,5224081.8,604.7,2000,61250,66
2022,55 Hudson Yards,Office,99845548.5,13826560.4,77259850.2,7731.2,4405,1259284,76.8
2022,25 Broadway,Office,80449669.8,Not Available,54465725.6,6325.6,42371,550099.2,85.3
2022,85 10th Ave,Office,81093221.6,127120523.9,72264573.8,6578.2,118738,481197,126.2
2022,100 William,Office,36240351,Not Available,15964580.5,2695.9,3619.2,368309.8,96.1
2022,3 Bryant Park,Office,147483483.8,Not Available,109526875.5,11757.5,9409,1208444,113.8
2022,ConEd Flatbush HQ,Office,20430100.2,Not Available,20430100.2,1727.2,7438,228040,77.9
2022,ConEd Van Nest Service Center,Mixed Use Property,67282445.6,Not Available,28374351.5,4465.4,37171,166168,166.9
2022,ConEd Irving Place,Office,135521882.8,Not Available,68021961.7,10232.5,25716,1164315,108.3
2022,ConEd Davis HQ,Office,7733595.7,Not Available,4085095.6,539.1,1653,52564,128.9
2022,Jeff Bar Inc/ 630 9th Ave Leasehold,Office,22901480.8,4278794.4,11914235.7,1699.6,3352,236746,86.9
2022,Livingston Plaza,Office,76112354.8,Not Available,66600454.8,6135.7,33230,466770,152.2
2022,Court Square Place,Office,18600440.1,5372446.6,11839639.9,1360,3315,271937,67.6
2022,CO/GLC 11128/104 BROAD ST/NEW YORK/NY,Data Center,31945520.8,Not Available,25169642.3,2577.8,217034,217034,147.2
2022,CO/GLC 12191/204 2ND AVE/NEW YORK/NY,Data Center,58473963.3,Not Available,39863491.7,4609,234327,234327,249.5
2022,CO/GLC 13197/228 E 56 ST/NEW YORK/NY,Data Center,64572564.6,Not Available,54493485.5,5276.2,223862,223862,288.4
2022,CO/GLC 13225/208 E 79 ST/NEW YORK/NY,Data Center,40764116.6,Not Available,25479232.9,3168.9,150685,150685,270.5
2022,CO/GLC 13390/151 E 97 ST/NEW YORK/NY,Data Center,24219753.1,Not Available,20641784.4,2010.6,145097,145097,166.9
2022,CO/GLC 15167/193 MANHATTAN AVE/NEW YORK/NY,Data Center,22207925.5,Not Available,16036400,1813.7,162885,162885,136.3
2022,CO/GLC 15180/125 W 73 ST/NEW YORK/NY,Data Center,28529916.6,Not Available,16347069.3,2286.1,111984,111984,254.8
2022,CO/GLC 15320/380 CONVENT AVE/NEW YORK/NY,Data Center,11948464.3,Not Available,11283064.3,989.2,74132,74132,161.2
2022,CO/GLC 15371/608 W 176TH ST/NEW YORK/NY,Data Center,13069640.1,Not Available,11102272.1,1084.6,61916,61916,211.1
2022,CO/GLC 15395/50 THAYER ST/NEW YORK/NY,Data Center,12373092.9,Not Available,6635698.5,986.8,54778,54778,225.9
2022,CO/GLC 18112/221 E 37 ST/NEW YORK/NY,Data Center,12252283.6,Not Available,12252283.6,1035.8,177166,177166,69.2
2022,CO/GLC 18137/230 W 36 ST/NEW YORK/NY,Data Center,152647444.2,Not Available,36041640.6,10794.7,293739,293739,519.7
2022,CO/GLC 35102/360 BRIDGE ST/BROOKLYN/NY,Data Center,54055178.4,Not Available,47623612.8,4503.4,192316,192316,281.1
2022,CO/GLC 35304/547 CLINTON AVE/BROOKLYN/NY,Data Center,19281295.6,Not Available,17963695.6,1588.7,73883,73883,261
2022,CO/GLC 35306/680 FAIRVIEW AVE/QUEENS/NY,Data Center,16612243.9,Not Available,14969443.7,1352.8,73979,73979,224.6
2022,CO/GLC 31202/28-27 30 ST/ASTORIA/NY,Data Center,14365245.6,Not Available,12997126.5,1171.5,63754,63754,225.3
2022,CO/GLC 90201/1106 HOE AVE/BRONX/NY,Data Center,12805448.7,Not Available,10440948.5,1008.3,62748,62748,204.1
2022,CO/GLC 90105/117 E 167 ST/BRONX/NY,Data Center,7449761.2,Not Available,7449761.2,629.8,118902,118902,62.7
2022,CO/GLC 90312/2373 TIEBOUT AVE/BRONX/NY,Data Center,19165178.1,Not Available,14739716.9,1574.5,100258,100258,191.2
2022,CO/GLC 90203/2411 TRATMAN AVE/BRONX/NY,Data Center,31163777.1,Not Available,27601377.2,2522.7,87747,87747,355.2
2022,CO/GLC 90309/3050 CRUGER AVE/BRONX/NY,Data Center,29424423.7,Not Available,25299423.7,2357.9,127538,127538,230.7
2022,CO/GLC 90310/370 E 150 ST/BRONX/NY,Data Center,17208786.2,Not Available,12744454.3,1408.7,71307,71307,241.3
2022,CO/GLC 35307/1070 BUSHWICK AVE/BROOKLYN/NY,Data Center,11465982.2,Not Available,9711933.7,914.2,83215,83215,137.8
2022,CO/GLC 34313/1101 AVE R/BROOKLYN/NY,Data Center,14893895.8,Not Available,12809640.6,1237.6,60547,60547,246
2022,CO/GLC 34304/1421 OCEAN AVE/BROOKLYN/NY,Data Center,17413824.1,Not Available,16300150.4,1460.7,76565,76565,227.4
2022,CO/GLC 35309/1530 CARROLL ST/BROOKLYN/NY,Data Center,16693003.8,Not Available,16361765.1,1400.8,89286,89286,187
2022,CO/GLC 34211/2101 W 12TH ST/BROOKLYN/NY,Data Center,14030820.7,Not Available,12019179.1,1139.3,56479,56479,248.4
2022,CO/GLC 34151/2177 ALBEMARLE RD/BROOKLYN/NY,Data Center,23482172,Not Available,22686258,1976.8,151562,151562,154.9
2022,CO/GLC 34306/2885 OCEAN AVE/BROOKLYN/NY,Data Center,16070330.5,Not Available,13842753.7,1335.6,57740,57740,278.3
2022,CO/GLC 34203/4101 14TH AVE/BROOKLYN/NY,Data Center,14707872.7,Not Available,14707872.7,1243.4,84486,84486,174.1
2022,CO/GLC 35137/55 MESEROLE ST/BROOKLYN/NY,Data Center,70995120.8,Not Available,33090029.9,4865.4,203009,203009,349.7
2022,CO/GLC 34302/7101 16TH AVE/BROOKLYN/NY,Data Center,13858155.4,Not Available,12099955.2,1116.3,59278,59278,233.8
2022,CO/GLC 34101/739 ROCKAWAY AVE/BROOKLYN/NY,Data Center,24639030.8,Not Available,13440198.9,1736.3,101690,101690,242.3
2022,CO/GLC 34305/7701 3RD AVE/BROOKLYN/NY,Data Center,15759268.2,Not Available,14183574.8,1316,69475,69475,226.8
2022,CO/GLC 31106/82-23 BROADWAY/ELMHURST/NY,Data Center,34994792.6,Not Available,33205849,2940,132311,132311,264.5
2022,CO/GLC 37367/13-11 BAYPORT PL/FAR ROCKAWAY/NY,Data Center,10014777.3,Not Available,7576277.5,770,51028,51028,196.3
2022,CO/GLC 31303/137-34 NORTHERN BLVD/FLUSHING/NY,Data Center,22199979.4,Not Available,20493605.2,1859.2,75500,75500,294
2022,CO/GLC 37105/107 15 70TH RD/FOREST HILLS/NY,Data Center,18795922.3,Not Available,16831522.1,1527.3,137602,137602,136.6
2022,CO/GLC 37208/71-40 164TH ST/FRESH MEADOWS/NY,Data Center,24405514.8,Not Available,24145314.8,2055.1,72110,72110,338.4
2022,CO/GLC 37304/89-63 163RD ST/JAMAICA/NY,Data Center,32657053.1,Not Available,27768453,2607.2,94075,94075,347.1
2022,CO/GLC 31120/11-31 46TH RD/LONG ISLAND CITY/NY,Data Center,32012194,Not Available,19521481.8,2565.3,102949,102949,311
2022,CO/GLC 37313/87-28 109TH ST/RICHMOND HILL/NY,Data Center,9434088.1,Not Available,8618462.8,789.1,68125,68125,138.5
2022,CO/GLC 37269/118 15 115TH AVE/SOUTH OZONE PARK/NY,Data Center,9885326.7,Not Available,9882826.7,835.6,71449,71449,138.4
2022,CO/GLC 37370/140-10 183RD ST/SPRINGFIELD GARDENS/NY,Data Center,18041386.2,Not Available,16551926.1,1509.8,79003,79003,228.4
2022,CO/GLC 34310/355 FOREST AVE/STATEN ISLAND/NY,Data Center,20625148.9,Not Available,18076049.1,1667.3,75510,75510,273.1
2022,CO/GLC 35308/335 14TH ST/BROOKLYN/NY,Data Center,10475976,Not Available,9851676,866,34092,34092,307.3
2022,CO/GLC 34246/5180 AMBOY RD/STATEN ISLAND/NY,Data Center,6732959.3,Not Available,6263483.3,564.4,46400,46400,145.1
2022,CO/GLC 90202/3001 KINGSBRIDGE AVE/BRONX/NY,Data Center,12961229.5,Not Available,11530959.3,1081,47439,47439,273.2
2022,CO/GLC 31310/214-20 43 AVE/BAYSIDE/NY,Data Center,14653628.9,Not Available,13290972,1224.8,48590,48590,301.6
2022,CO/GLC 144733/54 LAIGHT ST/NEW YORK/NY,Data Center,6003696.6,Not Available,6003696.6,507.6,29500,29500,203.5
2022,CO/GLC 34215/42 NEW DORP LN/STATEN ISLAND/NY,Data Center,6041222.6,Not Available,5613422.6,506.3,28768,28768,210
2022,CO/GLC 34307/862 LIBERTY AVE/BROOKLYN/NY,Data Center,12924500.9,Not Available,11817400.9,1057.9,48170,48170,268.3
2022,CO/GLC 34343/5515 AVE I/BROOKLYN/NY,Data Center,8520751.4,Not Available,7968613.4,714.6,37095,37095,229.7
2022,CO/GLC 37268/216 BEACH 81ST ST/FAR ROCKAWAY/NY,Data Center,4429901.6,Not Available,3248701.6,337.4,27048,27048,163.8
2022,CO/GLC 37311/199-06 93RD AVE/HOLLIS/NY,Data Center,9267272.9,Not Available,8854440.3,779.2,48300,48300,191.9
2022,Mount Sinai Hospital Main Campus,Mixed Use Property,1334353386,Not Available,549177897.9,89276.8,55987,1948003,279.1
2022,MS Icahn Medical Institute,Mixed Use Property,92057132.6,Not Available,91916732.6,7781.1,55987,378074,152.1
2022,ABC 47W 30W,Office,82659987.9,Not Available,69908237.9,6592.1,74400,183932,308.5
2022,Brooklyn Tabernacle,Worship Facility,9513811.6,Not Available,6239411.8,701.4,5500,124500,73.2
2022,Zuckerman Research Center - (Child of MSKCC Super Campus),Laboratory,265517828.7,Not Available,141280218.7,19038.6,3947,613896,364.6
2022,Rockefeller Research Lab - (Child of MSKCC Super Campus),Laboratory,63706938.7,Not Available,56474790.7,5254.6,1911,285281,221.8
2022,MSKCC - Super Campus -(Main Campus / Schwartz / RRL/ ZRC ),Mixed Use Property,683991931.2,0,364123108.5,48988.2,17487,1010778,282.4
2022,Schwartz-Lot 01 (Child of MSKCC Super Campus),Office,Not Available,Not Available,Not Available,0,2358,104693,Not Available
2022,Main Campus - Lot 05 (Child of MSKCC Super Campus),Other - Specialty Hospital,Not Available,Not Available,Not Available,0,9271,1002216,Not Available
2022,Zuckerman Research Center - Part MSK Campus,Laboratory,259790768.8,Not Available,140625380.9,18713.9,3947,613896,356.7
